"year","round","date","time","region","venue","hteam","ateam","hscore","ascore"
2021,12,2021-06-05,"16:05:00","SA","Adelaide Oval","Adelaide","Collingwood",73,78
2021,12,2021-06-06,"15:20:00","NSW","S.C.G.","Carlton","West Coast",73,95
2021,12,2021-06-05,"17:40:00","WA","Perth Stadium","Essendon","Richmond",84,123
2021,12,2021-06-06,"16:40:00","WA","Perth Stadium","Fremantle","Western Bulldogs",65,93
2021,12,2021-06-04,"19:50:00","NSW","Sydney Showground","Melbourne","Brisbane Lions",97,75
2021,12,2021-06-05,"13:45:00","NSW","S.C.G.","Sydney","St Kilda",92,83
2021,13,2021-06-12,"14:15:00","WA","Perth Stadium","Fremantle","Gold Coast",76,49
2021,13,2021-06-14,"15:20:00","NSW","S.C.G.","Melbourne","Collingwood",63,80
2021,13,2021-06-13,"15:20:00","TAS","Bellerive Oval","North Melbourne","Greater Western Sydney",94,94
2021,13,2021-06-10,"19:10:00","SA","Adelaide Oval","Port Adelaide","Geelong",91,112
2021,13,2021-06-12,"19:25:00","QLD","Cazaly's Stadium","St Kilda","Adelaide",60,66
2021,13,2021-06-11,"19:50:00","NSW","S.C.G.","Sydney","Hawthorn",51,89
2021,13,2021-06-13,"17:20:00","WA","Perth Stadium","West Coast","Richmond",85,81
2021,14,2021-06-18,"19:50:00","VIC","Kardinia Park","Geelong","Western Bulldogs",83,78
2021,14,2021-06-19,"13:45:00","QLD","Carrara","Gold Coast","Port Adelaide",31,81
2021,14,2021-06-19,"19:25:00","NSW","Sydney Showground","Greater Western Sydney","Carlton",102,66
2021,14,2021-06-20,"15:20:00","TAS","York Park","Hawthorn","Essendon",73,86
2021,14,2021-06-19,"16:35:00","TAS","Bellerive Oval","North Melbourne","Brisbane Lions",45,68
2021,15,2021-06-24,"19:30:00","QLD","Gabba","Brisbane Lions","Geelong",94,50
2021,15,2021-06-27,"16:10:00","VIC","Docklands","Carlton","Adelaide",83,73
2021,15,2021-06-26,"13:45:00","VIC","Docklands","Collingwood","Fremantle",79,91
2021,15,2021-06-26,"19:25:00","VIC","M.C.G.","Essendon","Melbourne",57,68
2021,15,2021-06-27,"13:10:00","VIC","M.C.G.","Greater Western Sydney","Hawthorn",72,90
2021,15,2021-06-26,"13:45:00","TAS","Bellerive Oval","North Melbourne","Gold Coast",72,63
2021,15,2021-06-26,"16:05:00","SA","Adelaide Oval","Port Adelaide","Sydney",81,71
2021,15,2021-06-25,"19:50:00","VIC","M.C.G.","Richmond","St Kilda",22,62
2021,15,2021-06-27,"13:20:00","WA","Perth Stadium","West Coast","Western Bulldogs",43,98
2021,16,2021-07-03,"16:05:00","SA","Adelaide Oval","Adelaide","Brisbane Lions",59,111
2021,16,2021-07-04,"15:20:00","VIC","M.C.G.","Collingwood","St Kilda",61,70
2021,16,2021-07-03,"19:40:00","VIC","M.C.G.","Fremantle","Carlton",64,80
2021,16,2021-07-02,"19:50:00","VIC","Kardinia Park","Geelong","Essendon",98,57
2021,16,2021-07-01,"19:20:00","VIC","Docklands","Gold Coast","Richmond",77,67
2021,16,2021-07-03,"19:40:00","VIC","Docklands","Hawthorn","Port Adelaide",53,87
2021,16,2021-07-03,"13:45:00","VIC","M.C.G.","Melbourne","Greater Western Sydney",55,64
2021,16,2021-07-04,"13:10:00","VIC","Kardinia Park","Sydney","West Coast",118,26
2021,16,2021-07-04,"16:40:00","VIC","Docklands","Western Bulldogs","North Melbourne",108,79
2021,17,2021-07-10,"19:25:00","QLD","Carrara","Brisbane Lions","St Kilda",63,95
2021,17,2021-07-10,"16:35:00","VIC","M.C.G.","Carlton","Geelong",44,70
2021,17,2021-07-09,"19:50:00","VIC","Docklands","Essendon","Adelaide",84,21
2021,17,2021-07-11,"12:40:00","VIC","Eureka Stadium","Greater Western Sydney","Gold Coast",64,65
2021,17,2021-07-10,"13:45:00","TAS","York Park","Hawthorn","Fremantle",46,108
2021,17,2021-07-08,"19:10:00","SA","Adelaide Oval","Port Adelaide","Melbourne",55,86
2021,17,2021-07-11,"16:10:00","VIC","M.C.G.","Richmond","Collingwood",71,87
2021,17,2021-07-12,"17:40:00","WA","Perth Stadium","West Coast","North Melbourne",60,70
2021,17,2021-07-11,"15:20:00","VIC","Docklands","Western Bulldogs","Sydney",60,79
2021,18,2021-07-18,"16:10:00","SA","Adelaide Oval","Adelaide","West Coast",56,98
2021,18,2021-07-18,"15:20:00","VIC","M.C.G.","Collingwood","Carlton",62,91
2021,18,2021-07-15,"18:10:00","WA","Perth Stadium","Fremantle","Geelong",31,100
2021,18,2021-07-17,"16:35:00","QLD","Carrara","Gold Coast","Western Bulldogs",79,90
2021,18,2021-07-18,"18:10:00","QLD","Carrara","Greater Western Sydney","Sydney",72,98
2021,18,2021-07-17,"19:25:00","VIC","M.C.G.","Melbourne","Hawthorn",79,79
2021,18,2021-07-18,"12:35:00","QLD","Carrara","North Melbourne","Essendon",74,92
2021,18,2021-07-16,"20:05:00","QLD","Carrara","Richmond","Brisbane Lions",106,86
2021,18,2021-07-17,"13:45:00","VIC","Docklands","St Kilda","Port Adelaide",61,74
2021,19,2021-07-24,"19:40:00","VIC","Docklands","Adelaide","Hawthorn",102,83
2021,19,2021-07-24,"15:10:00","QLD","Gabba","Brisbane Lions","Gold Coast",120,71
2021,19,2021-07-24,"13:45:00","VIC","Docklands","Carlton","North Melbourne",77,116
2021,19,2021-07-25,"18:10:00","QLD","Carrara","Essendon","Greater Western Sydney",53,66
2021,19,2021-07-25,"15:20:00","VIC","M.C.G.","Geelong","Richmond",95,57
2021,19,2021-07-24,"19:25:00","VIC","M.C.G.","Melbourne","Western Bulldogs",65,85
2021,19,2021-07-23,"19:10:00","VIC","Docklands","Port Adelaide","Collingwood",97,69
2021,19,2021-07-25,"12:30:00","QLD","Carrara","Sydney","Fremantle",98,58
2021,19,2021-07-24,"14:35:00","WA","Perth Stadium","West Coast","St Kilda",94,86
