"year","round","date","time","region","venue","hteam","ateam","hscore","ascore","is_grand_final","is_final","home_win","hdiff"
2012,7,2012-05-13,"14:40:00","WA","Subiaco","Fremantle","Port Adelaide",87,47,0,0,1,40
2012,7,2012-05-12,"13:40:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Gold Coast",94,67,0,0,1,27
2012,7,2012-05-11,"19:50:00","VIC","M.C.G.","Melbourne","Hawthorn",49,115,0,0,0,-66
2012,7,2012-05-13,"13:10:00","VIC","Docklands","North Melbourne","Western Bulldogs",83,101,0,0,0,-18
2012,7,2012-05-12,"16:40:00","VIC","M.C.G.","Richmond","Sydney",91,62,0,0,1,29
2012,7,2012-05-14,"19:40:00","VIC","Docklands","St Kilda","Carlton",122,98,0,0,1,24
2012,8,2012-05-20,"13:10:00","QLD","Gabba","Brisbane Lions","Greater Western Sydney",132,40,0,0,1,92
2012,8,2012-05-20,"15:15:00","VIC","Docklands","Carlton","Adelaide",55,124,0,0,0,-69
2012,8,2012-05-18,"19:50:00","VIC","M.C.G.","Collingwood","Geelong",96,84,0,0,1,12
2012,8,2012-05-19,"19:50:00","VIC","M.C.G.","Essendon","Richmond",128,109,0,0,1,19
2012,8,2012-05-19,"14:10:00","TAS","University of Tasmania Stadium","Hawthorn","Fremantle",119,63,0,0,1,56
2012,8,2012-05-19,"13:15:00","SA","Football Park","Port Adelaide","North Melbourne",95,93,0,0,1,2
2012,8,2012-05-19,"16:40:00","NSW","S.C.G.","Sydney","Melbourne",138,37,0,0,1,101
2012,8,2012-05-20,"14:40:00","WA","Subiaco","West Coast","St Kilda",121,91,0,0,1,30
2012,8,2012-05-19,"19:10:00","NT","Marrara Oval","Western Bulldogs","Gold Coast",72,34,0,0,1,38
2012,9,2012-05-26,"19:10:00","SA","Football Park","Adelaide","Collingwood",49,75,0,0,0,-26
2012,9,2012-05-27,"15:15:00","VIC","M.C.G.","Carlton","Melbourne",107,49,0,0,1,58
2012,9,2012-05-26,"14:10:00","QLD","Carrara","Gold Coast","Port Adelaide",70,118,0,0,0,-48
2012,9,2012-05-26,"19:40:00","NSW","Sydney Showground","Greater Western Sydney","Essendon",53,119,0,0,0,-66
2012,9,2012-05-27,"13:10:00","VIC","Docklands","North Melbourne","Brisbane Lions",112,96,0,0,1,16
2012,9,2012-05-26,"13:45:00","VIC","M.C.G.","Richmond","Hawthorn",137,75,0,0,1,62
2012,9,2012-05-26,"16:40:00","VIC","Docklands","St Kilda","Sydney",111,83,0,0,1,28
2012,9,2012-05-27,"14:40:00","WA","Subiaco","West Coast","Fremantle",84,36,0,0,1,48
2012,9,2012-05-25,"19:50:00","VIC","Docklands","Western Bulldogs","Geelong",75,95,0,0,0,-20
2012,10,2012-06-03,"13:10:00","QLD","Gabba","Brisbane Lions","West Coast",102,100,0,0,1,2
2012,10,2012-06-03,"16:40:00","VIC","M.C.G.","Collingwood","Gold Coast",149,52,0,0,1,97
2012,10,2012-06-02,"19:40:00","VIC","M.C.G.","Essendon","Melbourne",52,58,0,0,0,-6
2012,10,2012-06-02,"14:40:00","WA","Subiaco","Fremantle","Adelaide",82,111,0,0,0,-29
2012,10,2012-06-02,"13:45:00","VIC","GMHBA Stadium","Geelong","Greater Western Sydney",126,61,0,0,1,65
2012,10,2012-06-02,"14:10:00","TAS","University of Tasmania Stadium","Hawthorn","North Melbourne",174,59,0,0,1,115
2012,10,2012-06-02,"19:10:00","SA","Football Park","Port Adelaide","Carlton",99,45,0,0,1,54
2012,10,2012-06-01,"19:50:00","VIC","Docklands","St Kilda","Richmond",113,121,0,0,0,-8
2012,10,2012-06-03,"15:15:00","NSW","S.C.G.","Sydney","Western Bulldogs",132,40,0,0,1,92
2012,11,2012-06-08,"19:50:00","VIC","Docklands","Carlton","Geelong",85,97,0,0,0,-12
2012,11,2012-06-09,"19:40:00","VIC","Docklands","Essendon","Sydney",82,86,0,0,0,-4
2012,11,2012-06-09,"16:40:00","QLD","Carrara","Gold Coast","St Kilda",49,144,0,0,0,-95
2012,11,2012-06-11,"15:15:00","VIC","M.C.G.","Melbourne","Collingwood",87,129,0,0,0,-42
2012,11,2012-06-10,"16:10:00","SA","Football Park","Port Adelaide","Hawthorn",62,108,0,0,0,-46
2012,11,2012-06-09,"13:40:00","VIC","M.C.G.","Richmond","Fremantle",66,78,0,0,0,-12
2012,12,2012-06-15,"20:10:00","SA","Football Park","Adelaide","St Kilda",115,111,0,0,1,4
2012,12,2012-06-16,"19:40:00","QLD","Carrara","Gold Coast","North Melbourne",80,87,0,0,0,-7
2012,12,2012-06-16,"14:10:00","NSW","Sydney Showground","Greater Western Sydney","Richmond",74,86,0,0,0,-12
2012,12,2012-06-17,"13:10:00","VIC","M.C.G.","Hawthorn","Brisbane Lions",135,70,0,0,1,65
2012,12,2012-06-14,"17:40:00","WA","Subiaco","West Coast","Carlton",79,69,0,0,1,10
2012,12,2012-06-17,"16:40:00","VIC","Docklands","Western Bulldogs","Port Adelaide",95,57,0,0,1,38
2012,13,2012-06-23,"16:40:00","VIC","M.C.G.","Collingwood","West Coast",85,82,0,0,1,3
2012,13,2012-06-23,"17:40:00","WA","Subiaco","Fremantle","Essendon",89,113,0,0,0,-24
2012,13,2012-06-24,"15:15:00","VIC","M.C.G.","Melbourne","Greater Western Sydney",135,57,0,0,1,78
2012,13,2012-06-24,"16:40:00","VIC","Docklands","North Melbourne","Adelaide",121,89,0,0,1,32
2012,13,2012-06-22,"19:50:00","NSW","S.C.G.","Sydney","Geelong",80,74,0,0,1,6
2012,13,2012-06-23,"13:40:00","VIC","Docklands","Western Bulldogs","Brisbane Lions",56,114,0,0,0,-58
2012,14,2012-06-30,"13:40:00","SA","Football Park","Adelaide","Richmond",106,87,0,0,1,19
2012,14,2012-07-01,"15:15:00","QLD","Gabba","Brisbane Lions","Melbourne",122,61,0,0,1,61
2012,14,2012-06-29,"19:50:00","VIC","M.C.G.","Carlton","Hawthorn",70,120,0,0,0,-50
2012,14,2012-06-30,"13:45:00","VIC","M.C.G.","Collingwood","Fremantle",107,78,0,0,1,29
2012,14,2012-06-30,"19:40:00","VIC","Docklands","Essendon","Western Bulldogs",140,56,0,0,1,84
2012,14,2012-07-01,"13:10:00","VIC","GMHBA Stadium","Geelong","Port Adelaide",99,61,0,0,1,38
2012,14,2012-07-01,"16:40:00","VIC","Docklands","St Kilda","North Melbourne",103,136,0,0,0,-33
2012,14,2012-06-30,"19:40:00","NSW","Stadium Australia","Sydney","Greater Western Sydney",132,38,0,0,1,94
2012,14,2012-06-30,"14:40:00","WA","Subiaco","West Coast","Gold Coast",166,40,0,0,1,126
2012,15,2012-07-06,"19:50:00","VIC","M.C.G.","Collingwood","Carlton",62,85,0,0,0,-23
2012,15,2012-07-08,"14:40:00","WA","Subiaco","Fremantle","Western Bulldogs",95,57,0,0,1,38
2012,15,2012-07-08,"15:15:00","QLD","Carrara","Gold Coast","Geelong",96,110,0,0,0,-14
2012,15,2012-07-08,"13:10:00","VIC","M.C.G.","Hawthorn","Greater Western Sydney",193,31,0,0,1,162
2012,15,2012-07-07,"14:10:00","VIC","M.C.G.","Melbourne","Richmond",78,101,0,0,0,-23
2012,15,2012-07-07,"13:45:00","TAS","Bellerive Oval","North Melbourne","West Coast",84,86,0,0,0,-2
2012,15,2012-07-07,"19:10:00","SA","Football Park","Port Adelaide","Adelaide",58,116,0,0,0,-58
2012,15,2012-07-07,"19:40:00","VIC","Docklands","St Kilda","Essendon",133,62,0,0,1,71
2012,15,2012-07-07,"16:40:00","NSW","S.C.G.","Sydney","Brisbane Lions",110,63,0,0,1,47
2012,16,2012-07-14,"19:40:00","QLD","Gabba","Brisbane Lions","St Kilda",92,105,0,0,0,-13
2012,16,2012-07-14,"19:40:00","VIC","M.C.G.","Geelong","Collingwood",79,110,0,0,0,-31
2012,16,2012-07-15,"13:10:00","NSW","Sydney Showground","Greater Western Sydney","Adelaide",59,178,0,0,0,-119
2012,16,2012-07-14,"13:45:00","VIC","Docklands","Melbourne","Fremantle",83,117,0,0,0,-34
2012,16,2012-07-13,"19:50:00","VIC","Docklands","North Melbourne","Carlton",149,96,0,0,1,53
2012,16,2012-07-14,"13:40:00","SA","Football Park","Port Adelaide","Essendon",77,127,0,0,0,-50
2012,16,2012-07-14,"16:40:00","QLD","Cazaly's Stadium","Richmond","Gold Coast",88,90,0,0,0,-2
2012,16,2012-07-15,"14:40:00","WA","Subiaco","West Coast","Sydney",69,121,0,0,0,-52
2012,16,2012-07-15,"15:15:00","VIC","Docklands","Western Bulldogs","Hawthorn",44,116,0,0,0,-72
2012,17,2012-07-21,"13:40:00","SA","Football Park","Adelaide","West Coast",124,75,0,0,1,49
2012,17,2012-07-21,"13:45:00","VIC","M.C.G.","Collingwood","Hawthorn",91,138,0,0,0,-47
2012,17,2012-07-22,"14:40:00","WA","Subiaco","Fremantle","Greater Western Sydney",132,37,0,0,1,95
2012,17,2012-07-20,"19:50:00","VIC","Docklands","Geelong","Essendon",134,67,0,0,1,67
2012,17,2012-07-21,"16:40:00","QLD","Carrara","Gold Coast","Brisbane Lions",48,59,0,0,0,-11
2012,17,2012-07-21,"19:10:00","NT","Marrara Oval","Melbourne","Port Adelaide",56,84,0,0,0,-28
2012,17,2012-07-22,"15:15:00","VIC","M.C.G.","Richmond","North Melbourne",99,103,0,0,0,-4
2012,17,2012-07-22,"13:10:00","NSW","S.C.G.","Sydney","St Kilda",105,76,0,0,1,29
2012,17,2012-07-21,"19:40:00","VIC","Docklands","Western Bulldogs","Carlton",84,102,0,0,0,-18
2012,18,2012-07-28,"19:40:00","VIC","M.C.G.","Carlton","Richmond",95,91,0,0,1,4
2012,18,2012-07-27,"19:50:00","VIC","Docklands","Essendon","Hawthorn",86,180,0,0,0,-94
2012,18,2012-07-28,"13:45:00","VIC","GMHBA Stadium","Geelong","Adelaide",102,75,0,0,1,27
2012,18,2012-07-28,"19:40:00","QLD","Carrara","Gold Coast","Sydney",54,126,0,0,0,-72
2012,18,2012-07-28,"16:40:00","NSW","Sydney Showground","Greater Western Sydney","Collingwood",54,174,0,0,0,-120
2012,18,2012-07-28,"14:10:00","VIC","Docklands","North Melbourne","Melbourne",127,73,0,0,1,54
2012,18,2012-07-29,"12:40:00","SA","Football Park","Port Adelaide","Fremantle",48,75,0,0,0,-27
2012,18,2012-07-29,"15:15:00","VIC","Docklands","St Kilda","Western Bulldogs",118,42,0,0,1,76
2012,18,2012-07-29,"14:40:00","WA","Subiaco","West Coast","Brisbane Lions",175,77,0,0,1,98
2012,19,2012-08-05,"16:10:00","SA","Football Park","Adelaide","Essendon",104,100,0,0,1,4
2012,19,2012-08-04,"19:40:00","QLD","Gabba","Brisbane Lions","Richmond",84,132,0,0,0,-48
2012,19,2012-08-05,"15:15:00","VIC","Docklands","Carlton","Sydney",71,93,0,0,0,-22
2012,19,2012-08-04,"19:40:00","VIC","M.C.G.","Collingwood","St Kilda",91,85,0,0,1,6
2012,19,2012-08-04,"14:40:00","WA","Subiaco","Fremantle","West Coast",113,48,0,0,1,65
2012,19,2012-08-04,"14:10:00","NSW","Sydney Showground","Greater Western Sydney","Port Adelaide",107,73,0,0,1,34
2012,19,2012-08-03,"19:50:00","VIC","M.C.G.","Hawthorn","Geelong",116,118,0,0,0,-2
2012,19,2012-08-05,"13:10:00","VIC","M.C.G.","Melbourne","Gold Coast",108,66,0,0,1,42
2012,19,2012-08-04,"13:45:00","VIC","Docklands","Western Bulldogs","North Melbourne",61,115,0,0,0,-54
2012,20,2012-08-11,"13:40:00","SA","Football Park","Adelaide","Fremantle",119,91,0,0,1,28
2012,20,2012-08-11,"19:40:00","VIC","Docklands","Carlton","Brisbane Lions",113,77,0,0,1,36
2012,20,2012-08-12,"16:40:00","VIC","Docklands","Essendon","North Melbourne",76,100,0,0,0,-24
2012,20,2012-08-11,"16:40:00","QLD","Carrara","Gold Coast","Greater Western Sydney",109,79,0,0,1,30
2012,20,2012-08-12,"13:10:00","TAS","University of Tasmania Stadium","Hawthorn","Port Adelaide",159,87,0,0,1,72
2012,20,2012-08-12,"15:15:00","VIC","M.C.G.","Richmond","Western Bulldogs",150,80,0,0,1,70
2012,20,2012-08-11,"13:45:00","VIC","M.C.G.","St Kilda","Melbourne",107,82,0,0,1,25
2012,20,2012-08-11,"19:40:00","NSW","Stadium Australia","Sydney","Collingwood",70,78,0,0,0,-8
2012,20,2012-08-10,"18:40:00","WA","Subiaco","West Coast","Geelong",102,97,0,0,1,5
2012,21,2012-08-18,"19:40:00","QLD","Gabba","Brisbane Lions","Adelaide",95,85,0,0,1,10
