"year","round","date","time","region","venue","hteam","ateam","hscore","ascore","is_grand_final","is_final","home_win","hdiff"
2014,21,2014-08-17,"14:40:00","WA","Subiaco","Fremantle","Hawthorn",110,91,0,0,1,19
2014,21,2014-08-16,"14:10:00","QLD","Carrara","Gold Coast","Port Adelaide",47,56,0,0,0,-9
2014,21,2014-08-17,"15:20:00","VIC","M.C.G.","Melbourne","Greater Western Sydney",34,98,0,0,0,-64
2014,21,2014-08-17,"13:10:00","VIC","Docklands","North Melbourne","Western Bulldogs",111,61,0,0,1,50
2014,21,2014-08-16,"13:45:00","NSW","S.C.G.","Sydney","St Kilda",127,56,0,0,1,71
2014,22,2014-08-24,"13:10:00","QLD","Gabba","Brisbane Lions","Fremantle",48,106,0,0,0,-58
2014,22,2014-08-23,"14:10:00","VIC","Docklands","Essendon","Gold Coast",108,89,0,0,1,19
2014,22,2014-08-23,"16:40:00","NSW","Sydney Showground","Greater Western Sydney","Collingwood",67,75,0,0,0,-8
2014,22,2014-08-23,"19:40:00","VIC","M.C.G.","Hawthorn","Geelong",94,71,0,0,1,23
2014,22,2014-08-23,"13:45:00","TAS","Bellerive Oval","North Melbourne","Adelaide",101,94,0,0,1,7
2014,22,2014-08-22,"19:20:00","SA","Adelaide Oval","Port Adelaide","Carlton",140,37,0,0,1,103
2014,22,2014-08-24,"16:40:00","VIC","M.C.G.","Richmond","St Kilda",98,72,0,0,1,26
2014,22,2014-08-23,"17:40:00","WA","Subiaco","West Coast","Melbourne",119,53,0,0,1,66
2014,22,2014-08-24,"15:20:00","VIC","Docklands","Western Bulldogs","Sydney",67,130,0,0,0,-63
2014,23,2014-08-31,"14:50:00","SA","Adelaide Oval","Adelaide","St Kilda",141,62,0,0,1,79
2014,23,2014-08-30,"13:45:00","VIC","M.C.G.","Carlton","Essendon",90,90,0,0,0,0
2014,23,2014-08-29,"19:50:00","VIC","M.C.G.","Collingwood","Hawthorn",56,121,0,0,0,-65
2014,23,2014-08-30,"13:10:00","WA","Subiaco","Fremantle","Port Adelaide",105,97,0,0,1,8
2014,23,2014-08-30,"19:40:00","VIC","GMHBA Stadium","Geelong","Brisbane Lions",143,81,0,0,1,62
2014,23,2014-08-31,"13:10:00","QLD","Carrara","Gold Coast","West Coast",99,151,0,0,0,-52
2014,23,2014-08-30,"19:40:00","VIC","Docklands","North Melbourne","Melbourne",123,93,0,0,1,30
2014,23,2014-08-30,"16:40:00","NSW","Stadium Australia","Sydney","Richmond",65,68,0,0,0,-3
2014,23,2014-08-31,"16:40:00","VIC","Docklands","Western Bulldogs","Greater Western Sydney",109,115,0,0,0,-6
2014,24,2014-09-05,"19:50:00","VIC","M.C.G.","Hawthorn","Geelong",104,68,0,3,1,36
2014,24,2014-09-06,"19:15:00","VIC","M.C.G.","North Melbourne","Essendon",93,81,0,2,1,12
2014,24,2014-09-07,"14:50:00","SA","Adelaide Oval","Port Adelaide","Richmond",132,75,0,2,1,57
2014,24,2014-09-06,"14:45:00","NSW","Stadium Australia","Sydney","Fremantle",93,69,0,3,1,24
2014,25,2014-09-13,"17:45:00","WA","Subiaco","Fremantle","Port Adelaide",83,105,0,4,0,-22
2014,25,2014-09-12,"19:50:00","VIC","M.C.G.","Geelong","North Melbourne",92,98,0,4,0,-6
2014,26,2014-09-20,"16:45:00","VIC","M.C.G.","Hawthorn","Port Adelaide",97,94,0,5,1,3
2014,26,2014-09-19,"19:50:00","NSW","Stadium Australia","Sydney","North Melbourne",136,65,0,5,1,71
2014,27,2014-09-27,"14:30:00","VIC","M.C.G.","Sydney","Hawthorn",74,137,1,6,0,-63
2015,1,2015-04-05,"14:50:00","SA","Adelaide Oval","Adelaide","North Melbourne",140,63,0,0,1,77
2015,1,2015-04-04,"18:20:00","QLD","Gabba","Brisbane Lions","Collingwood",74,86,0,0,0,-12
2015,1,2015-04-02,"19:20:00","VIC","M.C.G.","Carlton","Richmond",78,105,0,0,0,-27
2015,1,2015-04-05,"16:40:00","WA","Subiaco","Fremantle","Port Adelaide",75,68,0,0,1,7
2015,1,2015-04-06,"15:20:00","VIC","M.C.G.","Hawthorn","Geelong",123,61,0,0,1,62
2015,1,2015-04-04,"13:40:00","VIC","M.C.G.","Melbourne","Gold Coast",115,89,0,0,1,26
2015,1,2015-04-05,"13:10:00","VIC","Docklands","St Kilda","Greater Western Sydney",78,87,0,0,0,-9
2015,1,2015-04-04,"16:35:00","NSW","Stadium Australia","Sydney","Essendon",72,60,0,0,1,12
2015,1,2015-04-04,"19:20:00","VIC","Docklands","Western Bulldogs","West Coast",97,87,0,0,1,10
2015,2,2015-04-11,"16:35:00","VIC","Docklands","Collingwood","Adelaide",63,90,0,0,0,-27
2015,2,2015-04-12,"15:20:00","VIC","M.C.G.","Essendon","Hawthorn",78,76,0,0,1,2
2015,2,2015-04-12,"13:10:00","VIC","GMHBA Stadium","Geelong","Fremantle",60,104,0,0,0,-44
2015,2,2015-04-11,"19:20:00","QLD","Carrara","Gold Coast","St Kilda",76,104,0,0,0,-28
2015,2,2015-04-11,"14:10:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Melbourne",101,56,0,0,1,45
2015,2,2015-04-12,"16:40:00","VIC","Docklands","North Melbourne","Brisbane Lions",133,51,0,0,1,82
2015,2,2015-04-11,"19:10:00","SA","Adelaide Oval","Port Adelaide","Sydney",44,92,0,0,0,-48
2015,2,2015-04-11,"13:45:00","VIC","M.C.G.","Richmond","Western Bulldogs",66,85,0,0,0,-19
2015,2,2015-04-10,"18:10:00","WA","Subiaco","West Coast","Carlton",131,62,0,0,1,69
2015,3,2015-04-18,"13:40:00","SA","Adelaide Oval","Adelaide","Melbourne",80,55,0,0,1,25
2015,3,2015-04-18,"19:20:00","QLD","Gabba","Brisbane Lions","Richmond",58,137,0,0,0,-79
2015,3,2015-04-18,"13:45:00","VIC","M.C.G.","Carlton","Essendon",84,105,0,0,0,-21
2015,3,2015-04-17,"19:50:00","VIC","M.C.G.","Collingwood","St Kilda",140,66,0,0,1,74
2015,3,2015-04-19,"15:20:00","VIC","GMHBA Stadium","Geelong","Gold Coast",105,96,0,0,1,9
2015,3,2015-04-19,"13:10:00","TAS","University of Tasmania Stadium","Hawthorn","Western Bulldogs",127,57,0,0,1,70
2015,3,2015-04-18,"19:20:00","VIC","Docklands","North Melbourne","Port Adelaide",105,113,0,0,0,-8
2015,3,2015-04-18,"16:35:00","NSW","S.C.G.","Sydney","Greater Western Sydney",111,90,0,0,1,21
2015,3,2015-04-19,"14:40:00","WA","Subiaco","West Coast","Fremantle",81,111,0,0,0,-30
2015,4,2015-04-26,"13:10:00","QLD","Gabba","Brisbane Lions","West Coast",65,118,0,0,0,-53
2015,4,2015-04-25,"14:40:00","VIC","M.C.G.","Essendon","Collingwood",49,69,0,0,0,-20
2015,4,2015-04-25,"18:45:00","WA","Subiaco","Fremantle","Sydney",74,60,0,0,1,14
2015,4,2015-04-26,"15:20:00","VIC","GMHBA Stadium","Geelong","North Melbourne",67,83,0,0,0,-16
2015,4,2015-04-25,"17:40:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Gold Coast",119,53,0,0,1,66
2015,4,2015-04-25,"19:10:00","SA","Adelaide Oval","Port Adelaide","Hawthorn",99,91,0,0,1,8
2015,4,2015-04-24,"19:50:00","VIC","M.C.G.","Richmond","Melbourne",51,83,0,0,0,-32
2015,4,2015-04-25,"13:10:00","NZL","Wellington","St Kilda","Carlton",81,121,0,0,0,-40
2015,4,2015-04-26,"16:40:00","VIC","Docklands","Western Bulldogs","Adelaide",125,68,0,0,1,57
2015,5,2015-05-03,"16:10:00","SA","Adelaide Oval","Adelaide","Port Adelaide",91,115,0,0,0,-24
2015,5,2015-05-01,"19:50:00","VIC","M.C.G.","Carlton","Collingwood",45,120,0,0,0,-75
2015,5,2015-05-02,"16:35:00","QLD","Carrara","Gold Coast","Brisbane Lions",118,54,0,0,1,64
2015,5,2015-05-03,"13:10:00","VIC","M.C.G.","Melbourne","Fremantle",50,118,0,0,0,-68
2015,5,2015-05-02,"19:20:00","VIC","Docklands","North Melbourne","Hawthorn",70,130,0,0,0,-60
2015,5,2015-05-02,"13:45:00","VIC","M.C.G.","Richmond","Geelong",76,85,0,0,0,-9
2015,5,2015-05-03,"15:20:00","VIC","Docklands","St Kilda","Essendon",80,82,0,0,0,-2
2015,5,2015-05-02,"14:10:00","NSW","S.C.G.","Sydney","Western Bulldogs",73,77,0,0,0,-4
2015,5,2015-05-02,"17:40:00","WA","Subiaco","West Coast","Greater Western Sydney",120,33,0,0,1,87
2015,6,2015-05-10,"15:20:00","VIC","Docklands","Carlton","Brisbane Lions",75,84,0,0,0,-9
2015,6,2015-05-08,"19:50:00","VIC","M.C.G.","Collingwood","Geelong",59,100,0,0,0,-41
2015,6,2015-05-09,"18:10:00","WA","Subiaco","Fremantle","Essendon",80,52,0,0,1,28
2015,6,2015-05-09,"17:10:00","QLD","Carrara","Gold Coast","Adelaide",78,119,0,0,0,-41
2015,6,2015-05-09,"16:35:00","NSW","Sydney Showground","Greater Western Sydney","Hawthorn",108,98,0,0,1,10
2015,6,2015-05-09,"19:20:00","VIC","M.C.G.","Melbourne","Sydney",50,88,0,0,0,-38
2015,6,2015-05-09,"13:45:00","TAS","Bellerive Oval","North Melbourne","Richmond",109,74,0,0,1,35
2015,6,2015-05-10,"16:10:00","SA","Adelaide Oval","Port Adelaide","West Coast",68,78,0,0,0,-10
2015,6,2015-05-09,"14:10:00","VIC","Docklands","Western Bulldogs","St Kilda",87,94,0,0,0,-7
2015,7,2015-05-16,"13:15:00","SA","Adelaide Oval","Adelaide","St Kilda",119,73,0,0,1,46
2015,7,2015-05-17,"16:40:00","QLD","Gabba","Brisbane Lions","Port Adelaide",102,65,0,0,1,37
2015,7,2015-05-16,"16:35:00","VIC","Docklands","Carlton","Greater Western Sydney",57,135,0,0,0,-78
2015,7,2015-05-15,"19:50:00","VIC","Docklands","Essendon","North Melbourne",82,93,0,0,0,-11
2015,7,2015-05-16,"14:10:00","VIC","M.C.G.","Hawthorn","Melbourne",155,50,0,0,1,105
2015,7,2015-05-17,"15:20:00","VIC","M.C.G.","Richmond","Collingwood",105,100,0,0,1,5
2015,7,2015-05-16,"19:20:00","NSW","Stadium Australia","Sydney","Geelong",120,77,0,0,1,43
2015,7,2015-05-16,"17:40:00","WA","Subiaco","West Coast","Gold Coast",135,43,0,0,1,92
2015,7,2015-05-17,"13:10:00","VIC","Docklands","Western Bulldogs","Fremantle",88,101,0,0,0,-13
2015,8,2015-05-24,"13:10:00","VIC","Docklands","Essendon","Brisbane Lions",136,78,0,0,1,58
2015,8,2015-05-23,"17:40:00","WA","Subiaco","Fremantle","North Melbourne",115,42,0,0,1,73
2015,8,2015-05-22,"19:50:00","VIC","Docklands","Geelong","Carlton",140,63,0,0,1,77
2015,8,2015-05-23,"16:35:00","QLD","Carrara","Gold Coast","Collingwood",63,132,0,0,0,-69
2015,8,2015-05-23,"14:10:00","NSW","Sydney Showground","Greater Western Sydney","Adelaide",108,84,0,0,1,24
2015,8,2015-05-23,"19:20:00","VIC","M.C.G.","Hawthorn","Sydney",69,73,0,0,0,-4
2015,8,2015-05-24,"15:20:00","VIC","M.C.G.","Melbourne","Western Bulldogs",103,64,0,0,1,39
2015,8,2015-05-24,"16:10:00","SA","Adelaide Oval","Port Adelaide","Richmond",43,76,0,0,0,-33
2015,8,2015-05-23,"13:45:00","VIC","Docklands","St Kilda","West Coast",78,131,0,0,0,-53
2015,9,2015-05-30,"19:10:00","SA","Adelaide Oval","Adelaide","Fremantle",57,68,0,0,0,-11
2015,9,2015-05-31,"13:10:00","QLD","Gabba","Brisbane Lions","St Kilda",86,108,0,0,0,-22
2015,9,2015-05-31,"15:20:00","VIC","M.C.G.","Collingwood","North Melbourne",112,95,0,0,1,17
2015,9,2015-05-30,"13:45:00","TAS","University of Tasmania Stadium","Hawthorn","Gold Coast",93,40,0,0,1,53
2015,9,2015-05-30,"13:40:00","NT","Traeger Park","Melbourne","Port Adelaide",54,115,0,0,0,-61
2015,9,2015-05-30,"19:20:00","VIC","M.C.G.","Richmond","Essendon",72,59,0,0,1,13
2015,9,2015-05-29,"19:50:00","NSW","S.C.G.","Sydney","Carlton",122,62,0,0,1,60
2015,9,2015-05-31,"14:40:00","WA","Subiaco","West Coast","Geelong",120,64,0,0,1,56
2015,9,2015-05-30,"16:35:00","VIC","Docklands","Western Bulldogs","Greater Western Sydney",113,68,0,0,1,45
2015,10,2015-06-06,"13:40:00","VIC","M.C.G.","Carlton","Adelaide",90,99,0,0,0,-9
2015,10,2015-06-06,"19:20:00","VIC","Docklands","Essendon","Geelong",53,122,0,0,0,-69
2015,10,2015-06-05,"18:10:00","WA","Subiaco","Fremantle","Richmond",70,97,0,0,0,-27
2015,10,2015-06-06,"16:35:00","QLD","Carrara","Gold Coast","Sydney",41,93,0,0,0,-52
2015,10,2015-06-07,"13:10:00","NSW","Sydney Showground","Greater Western Sydney","Brisbane Lions",97,67,0,0,1,30
2015,10,2015-06-08,"15:20:00","VIC","M.C.G.","Melbourne","Collingwood",85,110,0,0,0,-25
2015,10,2015-06-07,"15:20:00","TAS","Bellerive Oval","North Melbourne","West Coast",85,75,0,0,1,10
2015,10,2015-06-06,"19:10:00","SA","Adelaide Oval","Port Adelaide","Western Bulldogs",100,62,0,0,1,38
2015,10,2015-06-07,"16:40:00","VIC","Docklands","St Kilda","Hawthorn",69,132,0,0,0,-63
2015,11,2015-06-14,"13:10:00","VIC","M.C.G.","Collingwood","Greater Western Sydney",119,77,0,0,1,42
2015,11,2015-06-13,"13:40:00","QLD","Carrara","Gold Coast","Fremantle",46,53,0,0,0,-7
2015,11,2015-06-13,"19:20:00","VIC","Docklands","North Melbourne","Sydney",75,91,0,0,0,-16
2015,11,2015-06-12,"19:20:00","SA","Adelaide Oval","Port Adelaide","Geelong",69,92,0,0,0,-23
2015,11,2015-06-14,"16:40:00","VIC","Docklands","St Kilda","Melbourne",85,83,0,0,1,2
2015,11,2015-06-13,"14:35:00","WA","Subiaco","West Coast","Essendon",96,46,0,0,1,50
2015,12,2015-06-18,"19:20:00","SA","Adelaide Oval","Adelaide","Hawthorn",85,114,0,0,0,-29
2015,12,2015-06-20,"13:40:00","VIC","M.C.G.","Carlton","Port Adelaide",110,106,0,0,1,4
2015,12,2015-06-21,"15:20:00","VIC","GMHBA Stadium","Geelong","Melbourne",89,113,0,0,0,-24
2015,12,2015-06-20,"16:35:00","NSW","Sydney Showground","Greater Western Sydney","North Melbourne",61,117,0,0,0,-56
2015,12,2015-06-19,"19:50:00","VIC","M.C.G.","Richmond","West Coast",70,90,0,0,0,-20
2015,12,2015-06-20,"19:20:00","VIC","Docklands","Western Bulldogs","Brisbane Lions",146,74,0,0,1,72
2015,13,2015-06-27,"16:35:00","QLD","Gabba","Brisbane Lions","Adelaide",69,82,0,0,0,-13
2015,13,2015-06-28,"15:20:00","VIC","Docklands","Carlton","Gold Coast",103,69,0,0,1,34
2015,13,2015-06-25,"18:10:00","WA","Subiaco","Fremantle","Collingwood",80,73,0,0,1,7
2015,13,2015-06-27,"13:40:00","VIC","M.C.G.","Hawthorn","Essendon",114,76,0,0,1,38
2015,13,2015-06-27,"19:20:00","VIC","Docklands","St Kilda","Western Bulldogs",56,62,0,0,0,-6
2015,13,2015-06-26,"19:50:00","NSW","S.C.G.","Sydney","Richmond",77,95,0,0,0,-18
2015,14,2015-07-03,"19:50:00","VIC","M.C.G.","Collingwood","Hawthorn",91,101,0,0,0,-10
2015,14,2015-07-05,"13:10:00","VIC","Docklands","Essendon","St Kilda",52,162,0,0,0,-110
2015,14,2015-07-05,"14:40:00","WA","Subiaco","Fremantle","Brisbane Lions",84,48,0,0,1,36
2015,14,2015-07-04,"16:40:00","QLD","Carrara","Gold Coast","North Melbourne",125,70,0,0,1,55
2015,14,2015-07-04,"19:10:00","NT","Marrara Oval","Melbourne","West Coast",60,114,0,0,0,-54
2015,14,2015-07-04,"13:40:00","VIC","M.C.G.","Richmond","Greater Western Sydney",78,69,0,0,1,9
2015,14,2015-07-02,"19:20:00","NSW","S.C.G.","Sydney","Port Adelaide",94,84,0,0,1,10
2015,14,2015-07-04,"19:30:00","VIC","Docklands","Western Bulldogs","Carlton",64,53,0,0,1,11
2015,15,2015-07-12,"16:40:00","QLD","Gabba","Brisbane Lions","Sydney",49,70,0,0,0,-21
2015,15,2015-07-11,"13:40:00","VIC","M.C.G.","Essendon","Melbourne",69,60,0,0,1,9
2015,15,2015-07-12,"13:10:00","NSW","Sydney Showground","Greater Western Sydney","St Kilda",84,49,0,0,1,35
2015,15,2015-07-12,"15:20:00","TAS","University of Tasmania Stadium","Hawthorn","Fremantle",115,43,0,0,1,72
2015,15,2015-07-11,"19:20:00","VIC","Docklands","North Melbourne","Geelong",120,79,0,0,1,41
2015,15,2015-07-09,"19:20:00","SA","Adelaide Oval","Port Adelaide","Collingwood",66,63,0,0,1,3
2015,15,2015-07-10,"19:50:00","VIC","M.C.G.","Richmond","Carlton",71,41,0,0,1,30
2015,15,2015-07-11,"17:40:00","WA","Subiaco","West Coast","Adelaide",147,91,0,0,1,56
2015,15,2015-07-11,"16:35:00","QLD","Cazaly's Stadium","Western Bulldogs","Gold Coast",95,73,0,0,1,22
2015,16,2015-07-18,"16:35:00","VIC","Docklands","Collingwood","West Coast",56,87,0,0,0,-31
2015,16,2015-07-18,"17:40:00","WA","Subiaco","Fremantle","Carlton",95,53,0,0,1,42
2015,16,2015-07-18,"13:45:00","VIC","GMHBA Stadium","Geelong","Western Bulldogs",72,64,0,0,1,8
2015,16,2015-07-18,"14:10:00","QLD","Carrara","Gold Coast","Greater Western Sydney",79,94,0,0,0,-15
2015,16,2015-07-19,"13:10:00","VIC","M.C.G.","Melbourne","Brisbane Lions",60,36,0,0,1,24
2015,16,2015-07-17,"19:50:00","VIC","Docklands","North Melbourne","Essendon",93,68,0,0,1,25
2015,16,2015-07-19,"14:50:00","SA","Adelaide Oval","Port Adelaide","Adelaide",113,116,0,0,0,-3
2015,16,2015-07-19,"16:40:00","VIC","Docklands","St Kilda","Richmond",73,89,0,0,0,-16
2015,16,2015-07-18,"19:20:00","NSW","Stadium Australia","Sydney","Hawthorn",57,146,0,0,0,-89
2015,17,2015-07-25,"13:40:00","SA","Adelaide Oval","Adelaide","Gold Coast",125,80,0,0,1,45
2015,17,2015-07-25,"19:20:00","QLD","Gabba","Brisbane Lions","North Melbourne",38,110,0,0,0,-72
2015,17,2015-07-24,"19:50:00","VIC","Docklands","Carlton","Hawthorn",35,173,0,0,0,-138
2015,17,2015-07-25,"19:20:00","VIC","Docklands","Essendon","Port Adelaide",116,129,0,0,0,-13
2015,17,2015-07-25,"13:45:00","ACT","UNSW Canberra Oval","Greater Western Sydney","Geelong",42,69,0,0,0,-27
2015,17,2015-07-26,"15:20:00","VIC","M.C.G.","Melbourne","St Kilda",46,83,0,0,0,-37
2015,17,2015-07-25,"16:35:00","VIC","M.C.G.","Richmond","Fremantle",78,82,0,0,0,-4
2015,17,2015-07-26,"14:40:00","WA","Subiaco","West Coast","Sydney",103,51,0,0,1,52
2015,17,2015-07-26,"13:10:00","VIC","Docklands","Western Bulldogs","Collingwood",104,86,0,0,1,18
2015,18,2015-08-01,"19:20:00","VIC","Docklands","Carlton","North Melbourne",54,118,0,0,0,-64
2015,18,2015-08-01,"14:10:00","VIC","M.C.G.","Collingwood","Melbourne",54,91,0,0,0,-37
2015,18,2015-08-02,"15:20:00","VIC","Docklands","Essendon","Western Bulldogs",40,127,0,0,0,-87
2015,18,2015-08-02,"14:40:00","WA","Subiaco","Fremantle","Greater Western Sydney",84,63,0,0,1,21
2015,18,2015-08-01,"13:45:00","VIC","GMHBA Stadium","Geelong","Brisbane Lions",113,57,0,0,1,56
2015,18,2015-08-01,"19:20:00","QLD","Carrara","Gold Coast","West Coast",83,83,0,0,0,0
2015,18,2015-07-31,"19:50:00","VIC","M.C.G.","Hawthorn","Richmond",53,71,0,0,0,-18
2015,18,2015-08-02,"12:40:00","SA","Adelaide Oval","Port Adelaide","St Kilda",112,49,0,0,1,63
2015,18,2015-08-01,"16:35:00","NSW","S.C.G.","Sydney","Adelaide",117,65,0,0,1,52
2015,19,2015-08-07,"19:20:00","SA","Adelaide Oval","Adelaide","Richmond",88,52,0,0,1,36
2015,19,2015-08-08,"16:35:00","QLD","Gabba","Brisbane Lions","Gold Coast",100,114,0,0,0,-14
2015,19,2015-08-08,"13:45:00","VIC","M.C.G.","Collingwood","Carlton",105,87,0,0,1,18
2015,19,2015-08-08,"19:20:00","VIC","GMHBA Stadium","Geelong","Sydney",95,63,0,0,1,32
2015,19,2015-08-09,"15:20:00","NSW","Sydney Showground","Greater Western Sydney","Essendon",93,61,0,0,1,32
2015,19,2015-08-09,"13:10:00","VIC","M.C.G.","Melbourne","North Melbourne",92,127,0,0,0,-35
2015,19,2015-08-09,"16:40:00","VIC","Docklands","St Kilda","Fremantle",59,96,0,0,0,-37
2015,19,2015-08-08,"17:40:00","WA","Subiaco","West Coast","Hawthorn",74,88,0,0,0,-14
2015,19,2015-08-08,"14:10:00","VIC","Docklands","Western Bulldogs","Port Adelaide",128,64,0,0,1,64
2015,20,2015-08-15,"19:20:00","QLD","Gabba","Brisbane Lions","Carlton",131,67,0,0,1,64
2015,20,2015-08-15,"13:45:00","VIC","Docklands","Essendon","Adelaide",59,171,0,0,0,-112
2015,20,2015-08-16,"14:40:00","WA","Subiaco","Fremantle","West Coast",80,104,0,0,0,-24
2015,20,2015-08-15,"19:20:00","VIC","M.C.G.","Geelong","Hawthorn",85,121,0,0,0,-36
2015,20,2015-08-15,"14:10:00","TAS","Bellerive Oval","North Melbourne","St Kilda",120,83,0,0,1,37
2015,20,2015-08-15,"16:05:00","SA","Adelaide Oval","Port Adelaide","Greater Western Sydney",111,90,0,0,1,21
2015,20,2015-08-16,"13:10:00","VIC","M.C.G.","Richmond","Gold Coast",138,55,0,0,1,83
2015,20,2015-08-14,"19:50:00","NSW","S.C.G.","Sydney","Collingwood",87,76,0,0,1,11
2015,20,2015-08-16,"15:20:00","VIC","Docklands","Western Bulldogs","Melbourne",153,55,0,0,1,98
2015,21,2015-08-22,"19:10:00","SA","Adelaide Oval","Adelaide","Brisbane Lions",131,44,0,0,1,87
2015,21,2015-08-23,"15:20:00","VIC","M.C.G.","Carlton","Melbourne",78,55,0,0,1,23
2015,21,2015-08-22,"13:45:00","VIC","M.C.G.","Collingwood","Richmond",56,147,0,0,0,-91
2015,21,2015-08-22,"16:35:00","QLD","Carrara","Gold Coast","Essendon",97,95,0,0,1,2
2015,21,2015-08-22,"14:10:00","NSW","Sydney Showground","Greater Western Sydney","Sydney",44,133,0,0,0,-89
2015,21,2015-08-21,"19:50:00","VIC","Docklands","Hawthorn","Port Adelaide",86,108,0,0,0,-22
2015,21,2015-08-23,"13:10:00","VIC","Docklands","North Melbourne","Fremantle",94,83,0,0,1,11
2015,21,2015-08-22,"19:20:00","VIC","Docklands","St Kilda","Geelong",97,97,0,0,0,0
2015,21,2015-08-23,"14:40:00","WA","Subiaco","West Coast","Western Bulldogs",162,85,0,0,1,77
2015,22,2015-08-30,"12:40:00","SA","Adelaide Oval","Adelaide","West Coast",126,69,0,0,1,57
2015,22,2015-08-29,"19:20:00","VIC","M.C.G.","Essendon","Richmond",47,74,0,0,0,-27
2015,22,2015-08-30,"14:40:00","WA","Subiaco","Fremantle","Melbourne",108,54,0,0,1,54
2015,22,2015-08-28,"19:50:00","VIC","M.C.G.","Geelong","Collingwood",62,110,0,0,0,-48
2015,22,2015-08-29,"19:20:00","QLD","Carrara","Gold Coast","Port Adelaide",51,88,0,0,0,-37
2015,22,2015-08-29,"13:45:00","NSW","Sydney Showground","Greater Western Sydney","Carlton",132,51,0,0,1,81
2015,22,2015-08-29,"14:10:00","TAS","University of Tasmania Stadium","Hawthorn","Brisbane Lions",134,62,0,0,1,72
2015,22,2015-08-29,"16:35:00","VIC","Docklands","North Melbourne","Western Bulldogs",73,96,0,0,0,-23
2015,22,2015-08-30,"15:20:00","VIC","Docklands","St Kilda","Sydney",38,135,0,0,0,-97
2015,23,2015-09-05,"13:45:00","QLD","Gabba","Brisbane Lions","Western Bulldogs",130,122,0,0,1,8
2015,23,2015-09-06,"15:20:00","VIC","M.C.G.","Collingwood","Essendon",92,95,0,0,0,-3
2015,23,2015-09-05,"13:05:00","VIC","GMHBA Stadium","Geelong","Adelaide",119,80,0,0,1,39
2015,23,2015-09-05,"16:40:00","VIC","M.C.G.","Hawthorn","Carlton",113,56,0,0,1,57
2015,23,2015-09-06,"13:10:00","VIC","Docklands","Melbourne","Greater Western Sydney",103,77,0,0,1,26
2015,23,2015-09-05,"15:20:00","SA","Adelaide Oval","Port Adelaide","Fremantle",122,53,0,0,1,69
2015,23,2015-09-04,"19:50:00","VIC","Docklands","Richmond","North Melbourne",108,67,0,0,1,41
2015,23,2015-09-05,"19:20:00","NSW","S.C.G.","Sydney","Gold Coast",127,64,0,0,1,63
2015,23,2015-09-05,"17:40:00","WA","Subiaco","West Coast","St Kilda",125,30,0,0,1,95
2015,24,2015-09-12,"13:20:00","WA","Subiaco","Fremantle","Sydney",69,60,0,3,1,9
2015,24,2015-09-13,"15:20:00","VIC","M.C.G.","Richmond","North Melbourne",88,105,0,2,0,-17
2015,24,2015-09-11,"18:20:00","WA","Subiaco","West Coast","Hawthorn",96,64,0,3,1,32
2015,24,2015-09-12,"19:20:00","VIC","M.C.G.","Western Bulldogs","Adelaide",102,109,0,2,0,-7
2015,25,2015-09-18,"19:50:00","VIC","M.C.G.","Hawthorn","Adelaide",135,61,0,4,1,74
2015,25,2015-09-19,"19:20:00","NSW","Stadium Australia","Sydney","North Melbourne",51,77,0,4,0,-26
2015,26,2015-09-25,"18:20:00","WA","Subiaco","Fremantle","Hawthorn",67,94,0,5,0,-27
2015,26,2015-09-26,"17:45:00","WA","Subiaco","West Coast","North Melbourne",80,55,0,5,1,25
2015,27,2015-10-03,"14:30:00","VIC","M.C.G.","Hawthorn","West Coast",107,61,1,6,1,46
2016,1,2016-03-28,"15:20:00","VIC","M.C.G.","Geelong","Hawthorn",116,86,0,0,1,30
2016,1,2016-03-26,"14:35:00","QLD","Carrara","Gold Coast","Essendon",121,60,0,0,1,61
2016,1,2016-03-26,"13:40:00","VIC","M.C.G.","Melbourne","Greater Western Sydney",80,78,0,0,1,2
2016,1,2016-03-26,"19:25:00","VIC","Docklands","North Melbourne","Adelaide",107,97,0,0,1,10
2016,1,2016-03-27,"14:20:00","SA","Adelaide Oval","Port Adelaide","St Kilda",133,100,0,0,1,33
2016,1,2016-03-24,"19:20:00","VIC","M.C.G.","Richmond","Carlton",92,83,0,0,1,9
2016,1,2016-03-26,"19:25:00","NSW","S.C.G.","Sydney","Collingwood",133,53,0,0,1,80
2016,1,2016-03-27,"13:40:00","WA","Subiaco","West Coast","Brisbane Lions",166,102,0,0,1,64
2016,1,2016-03-27,"13:10:00","VIC","Docklands","Western Bulldogs","Fremantle",103,38,0,0,1,65
2016,2,2016-04-02,"12:45:00","SA","Adelaide Oval","Adelaide","Port Adelaide",144,86,0,0,1,58
2016,2,2016-04-02,"14:35:00","QLD","Gabba","Brisbane Lions","North Melbourne",83,117,0,0,0,-34
2016,2,2016-04-03,"15:40:00","VIC","Docklands","Carlton","Sydney",71,131,0,0,0,-60
2016,2,2016-04-01,"19:50:00","VIC","M.C.G.","Collingwood","Richmond",87,86,0,0,1,1
2016,2,2016-04-02,"14:10:00","VIC","M.C.G.","Essendon","Melbourne",80,67,0,0,1,13
2016,2,2016-04-02,"13:40:00","WA","Subiaco","Fremantle","Gold Coast",100,126,0,0,0,-26
